sign,cat,isFigural,nDiach,meanC,sdC,cvC,slope,absSlope,diachR2,nGenres,nNKeff,eta_raw,eta_log,kw_p,z_sd,z_fig
A1,A,1,856,2658.28738317757,1500.8386003994,0.564588542945788,-1.24845877321071,1.24845877321071,0.129976259052579,10,536,0.760281201248046,0.744642361886592,4.23629743051305e-78,2.48121698677625,1.1595420713049
G17,G,1,822,2747.53527980535,1052.28270775898,0.382991518068344,-0.997019324072103,0.997019324072103,0.168447057610971,11,456,0.486981382460185,0.485109306871808,5.39319157972992e-43,1.03162635844335,1.1595420713049
Y1,Y,0,420,2367.04761904762,945.814814642981,0.39957574449792,-1.31641723379081,1.31641723379081,0.186717428593661,7,231,0.303966203550698,0.338989534346906,1.8178005062958e-15,0.687555836549593,-0.811679449913428
Q3,Q,0,315,2972.58095238095,828.055224253252,0.278564398251292,0.923511539434193,0.923511539434193,0.163499291065783,5,143,0.204628984300953,0.196810085499334,1.52204045222686e-05,0.306994124116315,-0.811679449913428
V30,V,0,302,3574.10927152318,1019.88790569333,0.285354427694564,-0.522381906786684,0.522381906786684,0.0293692986798741,6,159,0.187860762870781,0.231495495106419,1.02739967618718e-05,0.926936614642099,-0.811679449913428
G1,G,1,553,2667.82459312839,1062.74061042488,0.398354754342629,-1.26606490543241,1.26606490543241,0.339774846712509,8,263,0.152783244479191,0.176397927834874,6.14898633810479e-07,1.06542298879697,1.1595420713049
Z1,Z,0,749,1089.8437917223,393.018363594504,0.360618986481917,0.0402394352134681,0.0402394352134681,0.00120233960189216,10,491,0.115788936368528,0.0876014390001003,3.50381168312577e-06,-1.09890727309447,-0.811679449913428
M17,M,0,954,2105.63836477987,520.901108244809,0.247383936842006,-0.114745738422795,0.114745738422795,0.00666003587173633,11,622,0.107110402993575,0.111288060035343,9.74791148023975e-12,-0.685630731169333,-0.811679449913428
I9,I,1,548,2066.92518248175,699.152919084326,0.338257487503662,0.0354862711433997,0.0354862711433997,0.000367705459156073,9,301,0.096344446791584,0.105477376011384,0.00173715550848323,-0.109577314603308,1.1595420713049
D21,D,1,1095,2217.58721461187,611.319406112522,0.275668709705975,-0.252959743834368,0.252959743834368,0.0337522599817574,9,651,0.0957708848235286,0.115046127600727,3.16225633248321e-11,-0.393427419677176,1.1595420713049
Z7,Z,0,517,1414.77176015474,541.174234841959,0.382516989724737,-0.193863104445059,0.193863104445059,0.0182106222327542,11,365,0.076319262216712,0.0677723839920217,0.00131690859010223,-0.620114404654829,-0.811679449913428
N5,N,0,341,2170.74780058651,825.851308206996,0.380445534936791,-0.401271560980409,0.401271560980409,0.0207440464764639,5,247,0.0667397759469858,0.0611694653175309,0.00119484129745245,0.299871765233729,-0.811679449913428
X1,X,0,1252,1026.22204472843,355.430966686344,0.346348988030558,0.0736145684874286,0.0736145684874286,0.00615958966816304,15,782,0.0664329382799107,0.0559463116156452,0.000268875246497093,-1.22037783940621,-0.811679449913428
S29,S,0,514,2290.5,518.563852202326,0.226397665226949,-0.109515593636794,0.109515593636794,0.00732935275467163,7,257,0.0520837857190424,0.0489710214557626,0.149855931679273,-0.69318400270313,-0.811679449913428
N35,N,0,1364,1335.06085043988,407.358311318193,0.305123404063549,-0.176137536725645,0.176137536725645,0.0253338908503982,13,825,0.0475941244180339,0.042461269263898,0.00600011915400537,-1.05256510220316,-0.811679449913428
D4,D,1,271,3128.36531365314,726.938213365937,0.232369988950254,-0.449177132245534,0.449177132245534,0.109223364701796,6,130,0.0307199957321223,0.0459664055749677,0.524115288310783,-0.0197840405499827,1.1595420713049
D36,D,1,401,1700.36408977556,452.693369851196,0.266233198273994,-0.0506549631962223,0.0506549631962223,0.00386886131700684,5,159,0.0289934603381902,0.034164059399502,0.223555354534803,-0.906056546496713,1.1595420713049
